company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
J KumarInfraprojects,481,307,371,461,533
KirloskarOil Engines,289,242,252,447,22
Mastek,579,616,436,651,167
JagatjitInd,656,860,793,686,837
KirloskarPneumatic,892,614,644,862,318
Mawana Sugars,525,915,980,969,623
Jagran Prakashan,375,151,288,379,256
Kisan Mouldings,883,852,895,872,842
MaxIndia,59,159,139,49,435
Jai Balaji Ind,445,958,966,274,986
KitexGarments,836,303,672,764,291
MayurUniquoters,844,387,714,848,286
Jai Corp,686,426,159,321,488
KKalpana Inds,392,726,705,629,426
MBLInfrastructures,360,335,416,370,780
Jain Irrigation,130,407,170,155,579
K-Lifestyle & Inds,706,928,952,914,911
Mcleod Russel,399,532,224,286,508
Jaiprakash Associates,44,991,53,13,865
KM SugarMills,907,720,929,954,877
Mcnally Bharat,291,885,635,327,898
Jaiprakash PowerVentures,186,236,73,41,858
KNR Constructions,606,368,390,396,609
Meghmani Organics,495,463,501,473,574
Jamna Auto,552,541,748,891,279
KohinoorFoods,479,892,579,464,788
MEP Infra Developers,349,900,970,254,884
Jay BharatMaruti,488,488,735,813,199
Kokuyo Camlin,801,719,726,867,599
Mercator,244,963,208,165,678
Jay Shree Tea,696,825,543,546,698
Kolte Patil Developers,716,388,418,457,779
Merck,619,468,454,689,172
Jay Ushin,744,732,911,981,324
Kovai Medi Centre & Hospital,943,492,815,863,433
MetalystForgings,290,204,292,245,727
JayantAgro Organics,441,662,737,728,328
KPIT Technologies,250,181,267,367,161
Metro Global,979,573,695,858,590
Jayaswals Neco Inds,247,771,164,159,822
KRBL,230,143,260,292,461
Milkfood,972,761,915,948,807
JaybharatTextiles,699,934,968,839,794
Kridhan Infra,746,543,808,846,527
Minda Corporation,353,320,532,524,247
Jaypee Infratech,232,131,71,73,669
Kriti Inds,969,751,908,985,452
Minda Ind,328,374,600,662,149
JBF Ind,99,533,201,102,758
KSB Pumps,652,371,453,670,208
MindTree,214,97,187,348,24
JBM Auto,437,348,702,577,556
KSE,617,465,878,988,84
MIRCElectronics,549,791,797,811,453
JCT,586,682,914,707,739
KSKEnergy Ventures,310,947,141,63,916
Mirza International,607,431,630,701,272
JetAirways,41,995,999,143,549
KSL& Ind,564,953,982,514,951
MMTC,442,856,250,351,504
Jindal Drilling,875,482,362,589,385
Kauntam Papers,852,565,824,600,883
Modern Dairies,769,824,949,964,793
Jindal Poly Films,127,220,281,239,367
Kushal Tradelink,914,706,893,944,617
Modern Insulators,920,621,701,855,735
Jindal Saw,101,558,108,90,796
Kwality,139,224,412,360,389
Mohan Meakin,934,730,925,982,681
Jindal Stainless,116,171,965,93,881
LG Balakrishnan,517,364,592,702,181
MOIL,505,112,115,247,251
Jindal Steel & Power,46,986,35,19,748
